colour	x	key	showSelected2	showSelected3	group
#00BFC4	-2.86001278599724	1	24	prediction	107
#00BFC4	-2.86001278599724	1	25	prediction	108
#00BFC4	-2.86001278599724	1	26	prediction	109
#00BFC4	-2.86001278599724	1	27	prediction	110
#00BFC4	-2.86001278599724	1	28	prediction	111
#00BFC4	-2.86001278599724	1	29	prediction	112
#00BFC4	-2.86001278599724	1	30	prediction	113
#00BFC4	-2.86001278599724	1	31	prediction	114
#00BFC4	-2.86001278599724	1	32	prediction	115
#00BFC4	-2.86001278599724	1	33	prediction	116
#00BFC4	-2.86001278599724	1	34	prediction	117
#00BFC4	-2.86001278599724	1	35	prediction	118
#00BFC4	-2.86001278599724	1	36	prediction	119
#00BFC4	-2.86001278599724	1	37	prediction	120
#00BFC4	-2.86001278599724	1	38	prediction	121
#00BFC4	-2.86001278599724	1	39	prediction	122
#00BFC4	-2.86001278599724	1	40	prediction	123
#00BFC4	-2.78675652248785	1	0	prediction	124
#00BFC4	-2.78675652248785	1	1	prediction	125
#00BFC4	-2.78675652248785	1	2	prediction	126
#00BFC4	-2.78675652248785	1	3	prediction	127
#00BFC4	-2.78675652248785	1	4	prediction	128
#00BFC4	-2.78675652248785	1	5	prediction	129
#00BFC4	-2.78675652248785	1	6	prediction	130
#00BFC4	-2.78675652248785	1	7	prediction	131
#00BFC4	-2.78675652248785	1	8	prediction	132
#00BFC4	-2.78675652248785	1	9	prediction	133
#00BFC4	-2.78675652248785	1	10	prediction	134
#00BFC4	-2.78675652248785	1	11	prediction	135
#00BFC4	-2.78675652248785	1	12	prediction	136
#00BFC4	-2.78675652248785	1	13	prediction	137
#00BFC4	-2.78675652248785	1	14	prediction	138
#00BFC4	-2.78675652248785	1	15	prediction	139
#00BFC4	-2.78675652248785	1	16	prediction	140
#00BFC4	-2.78675652248785	1	17	prediction	141
#00BFC4	-2.78675652248785	1	18	prediction	142
#00BFC4	-2.78675652248785	1	19	prediction	143
#00BFC4	-2.78675652248785	1	20	prediction	144
#00BFC4	-2.78675652248785	1	21	prediction	145
#00BFC4	-2.78675652248785	1	22	prediction	146
#00BFC4	-2.78675652248785	1	23	prediction	147
#00BFC4	-2.78675652248785	1	24	prediction	148
#00BFC4	-2.78675652248785	1	25	prediction	149
#00BFC4	-2.78675652248785	1	26	prediction	150
#00BFC4	-2.78675652248785	1	27	prediction	151
#00BFC4	-2.78675652248785	1	28	prediction	152
#00BFC4	-2.78675652248785	1	29	prediction	153
#00BFC4	-2.78675652248785	1	30	prediction	154
#00BFC4	-2.78675652248785	1	31	prediction	155
#00BFC4	-2.78675652248785	1	32	prediction	156
#00BFC4	-2.78675652248785	1	33	prediction	157
#00BFC4	-2.78675652248785	1	34	prediction	158
#00BFC4	-2.78675652248785	1	35	prediction	159
#00BFC4	-2.78675652248785	1	36	prediction	160
#00BFC4	-2.78675652248785	1	37	prediction	161
#00BFC4	-2.78675652248785	1	38	prediction	162
