group	y
1	0
2	-0.11899755013633
3	-0.233948161227771
4	-0.344966825443232
5	-0.45216544007374
6	-0.555652889252798
7	-0.655535123534071
8	-0.751915237382451
9	-0.844893544633051
10	-0.934567651971285
11	-1.02103253048577
12	-1.10438058534445
13	-1.18470172364309
14	-1.2620834204738
15	-1.33661078326029
16	-1.40836661440515
17	-1.4774314722932
18	-1.54388373069412
19	-1.607799636606
20	-1.66925336658078
21	-1.7283170815712
22	-1.78506098033795
23	-1.83955335145468
24	-1.89186062394766
25	-1.94204741660557
26	-1.99017658599454
27	-2.03630927321199
28	-2.08050494941255
29	-2.12282146013801
30	-2.16331506848264
31	-2.20204049712446
32	-2.23905096925192
33	-2.27439824841514
34	-2.30813267732975
35	-2.34030321566064
36	-2.37095747681253
37	-2.40014176375321
38	-2.4279011038948
39	-2.45427928305774
40	-2.47931887854144
41	-2.50306129132509
42	0
43	-0.118887182736677
44	-0.233730405201013
45	-0.344644580826751
46	-0.451741530234938
47	-0.555130062900263
48	-0.65491605667615
49	-0.751202535234587
50	-0.844089743475239
51	-0.933675220956938
52	-1.02005387340327
53	-1.10331804233264
54	-1.18355757286183
55	-1.26085987973089
56	-1.33531001159581
57	-1.40699071363432
58	-1.47598248850891
59	-1.54236365573014
60	-1.60621040946187
61	-1.66759687480949
62	-1.72659516263049
63	-1.78327542290628
64	-1.83770589671277
65	-1.88995296682646
66	-1.94008120700161
67	-1.98815342995344
68	-2.03423073408102
69	-2.078372548963
70	-2.12063667965819
71	-2.16107934984229
72	-2.19975524381125
73	-2.23671754738085
74	-2.27201798771155
75	-2.30570687208649
76	-2.33783312567028
77	-2.36844432827511
78	-2.39758675016023
79	-2.42530538689009
80	-2.45164399327574
81	-2.47664511642355
82	-2.50035012791463
83	0
84	-0.11537920209499
85	-0.22680912293031
86	-0.334402173376168
87	-0.438267737130998
88	-0.538512250671043
89	-0.635239281103544
90	-0.728549601978349
91	-0.818541267111337
92	-0.90530968247165
93	-0.988947676183368
94	-1.06954556669095
95	-1.14719122913646
96	-1.22197015999533
97	-1.29396554001627
98	-1.36325829550961
99	-1.4299271580273
100	-1.49404872247667
101	-1.55569750370894
102	-1.61494599162219
103	-1.67186470481802
104	-1.72652224284932
105	-1.77898533709634
106	-1.82931890030678
107	-1.87758607483488
108	-1.9238482796136
109	-1.96816525589296
110	-2.01059511177696
111	-2.05119436559033
112	-2.09001798810595
113	-2.12711944366251
114	-2.16255073020172
115	-2.19636241825316
116	-2.22860368889433
117	-2.25932237071287
118	-2.28856497579686
119	-2.31637673477879
120	-2.34280163095796
121	-2.36788243352539
122	-2.39166072991468
123	-2.41417695730193
124	0
125	-0.111070699660042
126	-0.218308402840263
127	-0.321822446761901
128	-0.421719222094611
129	-0.518102250797534
130	-0.611072261919046
131	-0.70072726540859
132	-0.787162623992558
133	-0.870471123164862
134	-0.950743039341509
135	-1.02806620622719
136	-1.10252607944066
137	-1.17420579944443
138	-1.24318625282317
139	-1.30954613195392
140	-1.37336199311038
141	-1.43470831304193
142	-1.49365754406761
143	-1.5502801677237
144	-1.60464474700278
145	-1.6568179772212
146	-1.70686473555071
147	-1.75484812924939
148	-1.80082954262572
149	-1.84486868276905
150	-1.88702362407871
151	-1.92735085162329
152	-1.96590530336053
153	-2.00274041124779
154	-2.0379081412721
155	-2.07145903242799
156	-2.10344223467081
157	-2.13390554587211
158	-2.16289544780348
159	-2.19045714117406
160	-2.21663457974658
161	-2.24147050355614
162	-2.26500647125501
163	-2.28728289160657
164	-2.30833905415049
165	0
166	-0.102815386368834
167	-0.202020583904619
168	-0.297719040558351
169	-0.390011412201892
170	-0.478995636429012
171	-0.564767004420661
172	-0.647418230925108
173	-0.72703952240223
174	-0.803718643380001
175	-0.877540981069908
176	-0.948589608286859
177	-1.01694534471793
178	-1.08268681658313
179	-1.14589051473026
180	-1.20663085120483
