group	y
1	0
2	-1.1899755013633
3	-1.97525709823777
4	-2.47083695953055
5	-2.76075847536423
6	-2.90628829224166
7	-2.95194568764428
8	-2.92994958806967
9	-2.86349716272598
10	-2.76917977634952
11	-2.65876217890985
12	-2.54049177294663
13	-2.42006118192171
14	-2.30131511892424
15	-2.18676874923608
16	-2.07798715433226
17	-1.97586251451997
18	-1.88081603239335
19	-1.79294453277369
20	-1.71212644155651
21	-1.63809798174473
22	-1.57050757219009
23	-1.50895430889137
24	-1.45301485483433
25	-1.40226191803563
26	-1.35627665208625
27	-1.31465669034081
28	-1.27702106580148
29	-1.24301293073424
30	-1.21230074139566
31	-1.18457839050374
32	-1.15956463594848
33	-1.13700207592785
34	-1.11665584877871
35	-1.09831218328681
36	-1.08177688706777
37	-1.06687383292088
38	-1.05344348307586
39	-1.04134147691898
40	-1.03043729758173
41	-1.02061302558559
42	0
43	-1.18887182736677
44	-1.9733476274994
45	-2.4683408341414
46	-2.7578367540697
47	-2.90305920104346
48	-2.94849588025808
49	-2.92634245881989
50	-2.85977898218197
51	-2.76538421882377
52	-2.65491366228653
53	-2.53660792147308
54	-2.41615464144111
55	-2.29739489406654
56	-2.18284118778204
57	-2.07405667123447
58	-1.97193212388264
59	-1.8768877378477
60	-1.78901961348829
61	-1.70820566137269
62	-1.63418174172628
63	-1.56659602155743
64	-1.50504742538267
65	-1.44911250263538
66	-1.39836388927886
67	-1.35238269633827
68	-1.31076653533126
69	-1.27313443178527
70	-1.23912954024405
71	-1.20842032567362
72	-1.18070069355624
73	-1.15568941691391
74	-1.13312911026013
75	-1.11278492861201
76	-1.09444311724582
77	-1.07790949971394
78	-1.06300796397064
79	-1.04957898648744
80	-1.03747821991545
81	-1.02657515965682
82	-1.01675189752394
83	0
84	-1.1537920209499
85	-1.91265591593274
86	-2.38900255515749
87	-2.66497109107608
88	-2.80042391699051
89	-2.83884522647431
90	-2.81169139682032
91	-2.74159820224387
92	-2.64474404458172
93	-2.53259020575592
94	-2.41316136182507
95	-2.29198692139854
96	-2.17279222194466
97	-2.05800532508011
98	-1.94912794533435
99	-1.8470063367987
100	-1.7520285741423
101	-1.6642677309875
102	-1.58358533844732
103	-1.50970572601729
104	-1.44226905597202
105	-1.38086880233805
106	-1.32507790533546
107	-1.27446671074154
108	-1.22861497664464
109	-1.18711962048475
110	-1.14959943020782
111	-1.11569763275524
112	-1.08508296991945
113	-1.0574497528892
114	-1.03251723565059
115	-1.01002855129941
116	-0.98974938502718
117	-0.971466506254645
118	-0.954986245076658
119	-0.940132971142622
120	-0.926747613593888
121	-0.914686246697937
122	-0.903818755875137
123	-0.894027591814562
124	0
125	-1.11070699660042
126	-1.83811434521862
127	-2.29155926709465
128	-2.55091346761705
129	-2.67436724324528
130	-2.70417227440414
131	-2.67087694250882
132	-2.59644854774563
133	-2.49657376157113
134	-2.38235251514543
135	-2.26154427577022
136	-2.13948410602152
137	-2.01975519834809
138	-1.90468189677253
139	-1.79569046243058
140	-1.69357246334947
141	-1.5986765275382
142	-1.51104744717759
143	-1.43052663613084
144	-1.3568242618491
145	-1.28957065519156
146	-1.22835259589201
147	-1.17273859133415
148	-1.12229617448838
149	-1.07660344176583
150	-1.03525645814021
151	-0.99787371975983
152	-0.964098542484874
153	-0.933600008106031
154	-0.906072926100853
155	-0.881237141175605
156	-0.858836423348944
157	-0.838637108972703
158	-0.820426611221954
159	-0.80401188232711
160	-0.789217883555617
161	-0.775886100017983
162	-0.763873123811004
163	-0.753049319375481
164	-0.743297578172902
165	0
166	-1.02815386368834
167	-1.69528884407176
168	-2.10485289214656
169	-2.33237316756583
170	-2.43283614283937
171	-2.44613193951347
172	-2.40106917198447
173	-2.31833430965815
174	-2.21267184317421
175	-2.09448933696149
176	-1.97103810463978
177	-1.84728083174303
178	-1.72652835351771
179	-1.61090628571694
180	-1.50169631687535
181	-1.39958523369566
182	-1.30484608234774
183	-1.21746946630916
184	-1.13725825375293
185	-1.06389547692144
186	-0.996992629173911
187	-0.936123663633349
188	-0.880848594139824
189	-0.830729564180488
190	-0.78534148630702
191	-0.744278792123652
192	-0.707159418679364
193	-0.673626852207361
194	-0.643350825952538
195	-0.61602710413952
196	-0.591376663324959
197	-0.569144493904618
198	-0.549098179887151
199	-0.531026367914164
200	-0.514737202259958
201	-0.500056777762722
202	-0.486827644798592
203	-0.474907387652092
204	-0.464167288591926
205	-0.454491083622294
206	0
207	-1.01808996893149
208	-1.67787726002362
209	-2.08209187458576
210	-2.30573133699849
211	-2.40339154771322
212	-2.41467473514392
213	-2.36817742201261
214	-2.28442993409102
215	-2.17806190255503
216	-2.05939648672768
217	-1.93562305218397
218	-1.81165888868391
219	-1.69078162892763
220	-1.57509266208449
221	-1.46585605211945
222	-1.36374581204409
223	-1.26902577399064
224	-1.18167993539535
225	-1.10150646539977
226	-1.02818508824481
227	-0.961325000846048
228	-0.900498592658874
229	-0.845264842091677
230	-0.795185235609996
231	-0.749834297627289
232	-0.708806260626833
233	-0.671718993498877
234	-0.638216003246476
235	-0.607967102532062
236	-0.580668171971652
237	-0.556040326103618
238	-0.533828704097563
239	-0.513801042061605
240	-0.495746137006894
241	-0.479472278527529
242	-0.464805699653141
243	-0.451589080624364
244	-0.439680126681434
245	-0.4289502319837
246	-0.419283235491953
247	0
248	-1.01095389907764
249	-1.66553111739836
250	-2.06595257512141
251	-2.28684024477663
252	-2.38251308140221
253	-2.39236917519805
254	-2.34485465969391
255	-2.26038914290197
256	-2.15352081186767
257	-2.03451297624894
258	-1.91051107572673
259	-1.78640021099091
260	-1.66543447160096
261	-1.54969806822842
262	-1.44044256767255
263	-1.33833292542255
264	-1.24362644015435
265	-1.1563024251165
266	-1.07615571747841
267	-1.00286369585535
268	-0.936033928809016
269	-0.875237697035041
270	-0.820033244741692
271	-0.769981592516015
272	-0.724656989551831
273	-0.683653527140456
274	-0.646589025842393
275	-0.613107007388106
276	-0.582877340753127
277	-0.555595989083857
278	-0.530984164758244
279	-0.508787112437903
280	-0.488772676081084
281	-0.470729759322432
282	-0.454466754798872
283	-0.439809993528324
284	-0.426602247835267
285	-0.414701308726772
286	-0.4039786497012
287	-0.394318182723425
288	0
289	-0.986708720585633
290	-1.62358443837645
291	-2.01111844313234
292	-2.22265674991058
293	-2.3115773769154
294	-2.31658484386051
295	-2.26561432896218
296	-2.17870927073066
297	-2.07014114542803
298	-1.9499699202782
299	-1.82519179439081
300	-1.70058250437067
301	-1.57931615069929
302	-1.46341857918435
303	-1.35409889683715
304	-1.2519912857307
305	-1.15733084677432
